type, target, sum, time, threads
baseline, 100000000, 4999999950000000, 0.161009, 1
multithread, 100000000, 4999999950000000, 0.155247, 1
multitask_fork, 100000000, 4999999950000000, 0.159079, 1
multitask_popen, 100000000, 4999999950000000, 0.160485, 1
multithread, 100000000, 4999999950000000, 0.078899, 2
multitask_fork, 100000000, 4999999950000000, 0.079699, 2
multitask_popen, 100000000, 4999999950000000, 0.081915, 2
multithread, 100000000, 4999999950000000, 0.040198, 4
multitask_fork, 100000000, 4999999950000000, 0.040609, 4
multitask_popen, 100000000, 4999999950000000, 0.042924, 4
multithread, 100000000, 4999999950000000, 0.029139, 8
multitask_fork, 100000000, 4999999950000000, 0.031662, 8
multitask_popen, 100000000, 4999999950000000, 0.033133, 8
baseline, 1000000000, 499999999500000000, 1.604088, 1
multithread, 1000000000, 499999999500000000, 1.542558, 1
multitask_fork, 1000000000, 499999999500000000, 1.569491, 1
multitask_popen, 1000000000, 499999999500000000, 1.576324, 1
multithread, 1000000000, 499999999500000000, 0.773017, 2
multitask_fork, 1000000000, 499999999500000000, 0.686482, 2
multitask_popen, 1000000000, 499999999500000000, 0.514293, 2
multithread, 1000000000, 499999999500000000, 0.213812, 4
multitask_fork, 1000000000, 499999999500000000, 0.199687, 4
multitask_popen, 1000000000, 499999999500000000, 0.195463, 4
multithread, 1000000000, 499999999500000000, 0.147886, 8
multitask_fork, 1000000000, 499999999500000000, 0.147579, 8
multitask_popen, 1000000000, 499999999500000000, 0.148635, 8
baseline, 10000000000, -5340232226128654848, 7.897709, 1
multithread, 10000000000, -5340232226128654848, 7.608535, 1
multitask_fork, 10000000000, -5340232226128654848, 7.730861, 1
multitask_popen, 10000000000, -5340232226128654848, 7.729110, 1
multithread, 10000000000, -5340232226128654848, 3.807164, 2
multitask_fork, 10000000000, -5340232226128654848, 3.865797, 2
multitask_popen, 10000000000, -5340232226128654848, 3.865433, 2
multithread, 10000000000, -5340232226128654848, 1.941804, 4
multitask_fork, 10000000000, -5340232226128654848, 1.933185, 4
multitask_popen, 10000000000, -5340232226128654848, 1.936530, 4
multithread, 10000000000, -5340232226128654848, 1.477519, 8
multitask_fork, 10000000000, -5340232226128654848, 1.456125, 8
multitask_popen, 10000000000, -5340232226128654848, 1.460451, 8
